"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"3015",2,48.76,5619,2015,"Krzyki"
"3016",2,46,6087,NA,"Stare Miasto"
"3017",1,34.5,6667,2001,"Fabryczna"
"3018",4,95,4621,NA,"Śródmieście"
"3019",2,53,5264,2007,"Krzyki"
"3020",3,64.1,7600,NA,"Krzyki"
"3021",4,90.7,8825,NA,"Krzyki"
"3022",3,70,7975,NA,"Krzyki"
"3023",1,35.6,6882,1961,"Stare Miasto"
"3024",4,143.67,4037,1900,"Krzyki"
"3025",3,98.5,6650,1950,"Stare Miasto"
"3026",3,63,5794,1930,"Śródmieście"
"3027",2,40.16,7097,2008,"Krzyki"
"3028",1,30.06,6986,2007,"Fabryczna"
"3029",3,51.1,5871,1975,"Fabryczna"
"3030",3,67,5373,1960,"Krzyki"
"3031",2,47.5,5789,2007,"Psie Pole"
"3032",2,47,7447,2011,"Krzyki"
"3033",2,39,5513,2016,"Krzyki"
"3034",2,39,5513,NA,"Krzyki"
"3035",2,35,5500,NA,"Krzyki"
"3036",3,63,4746,1983,"Fabryczna"
"3037",3,69,5058,1985,"Fabryczna"
"3038",2,36,6528,1985,"Fabryczna"
"3039",1,24,7875,1970,"Krzyki"
"3040",3,57.02,8593,2016,"Psie Pole"
"3041",3,56.8,5986,2012,"Krzyki"
"3042",1,33,5727,2000,"Fabryczna"
"3043",7,203,6158,NA,"Krzyki"
"3044",2,49,5469,NA,"Fabryczna"
"3045",2,38,6720,2018,"Psie Pole"
"3046",3,47,6149,1970,"Śródmieście"
"3047",2,55,10000,NA,"Krzyki"
"3048",3,92.29,4898,NA,"Fabryczna"
"3049",2,61.23,5390,NA,"Fabryczna"
"3050",3,74.54,5409,NA,"Fabryczna"
"3051",3,67.11,5409,NA,"Fabryczna"
"3052",2,39.7,5919,NA,"Fabryczna"
"3053",3,56.53,5577,NA,"Fabryczna"
"3054",3,63.3,5577,NA,"Fabryczna"
"3055",2,39.79,6233,NA,"Fabryczna"
"3056",3,52.85,5582,NA,"Fabryczna"
"3057",3,90.42,4899,NA,"Fabryczna"
"3058",2,58.82,5406,NA,"Fabryczna"
"3059",3,46,5559,NA,"Krzyki"
"3060",2,37,5500,NA,"Krzyki"
"3061",4,64,5609,1979,"Psie Pole"
"3062",2,39,5598,NA,"Krzyki"
"3063",2,55,8891,2009,"Krzyki"
"3064",3,66,5424,NA,"Fabryczna"
"3065",4,48.5,8969,2012,"Fabryczna"
"3066",3,60.08,6408,2009,"Fabryczna"
"3067",3,77.68,5098,NA,"Fabryczna"
"3068",3,65.28,5392,NA,"Fabryczna"
"3069",2,39.71,5918,NA,"Fabryczna"
"3070",3,56.85,5400,NA,"Fabryczna"
"3071",3,62.36,5613,NA,"Fabryczna"
"3072",2,39.79,6233,NA,"Fabryczna"
"3073",3,52.85,4892,NA,"Fabryczna"
"3074",3,92.19,4892,NA,"Fabryczna"
"3075",2,61.58,4895,NA,"Fabryczna"
"3076",3,90.29,4895,NA,"Fabryczna"
"3077",3,67.14,5407,NA,"Fabryczna"
"3078",2,39.72,5916,NA,"Fabryczna"
"3079",3,65.29,5407,NA,"Fabryczna"
"3080",3,63.28,5405,NA,"Fabryczna"
"3081",2,51,9902,2012,"Krzyki"
"3082",3,74.49,5101,NA,"Fabryczna"
"3083",3,95.86,5406,NA,"Fabryczna"
"3084",2,61.23,5406,NA,"Fabryczna"
"3085",3,77.67,5098,NA,"Fabryczna"
"3086",3,68.77,5395,NA,"Fabryczna"
"3087",2,39.58,5912,NA,"Fabryczna"
"3088",3,56.84,5401,NA,"Fabryczna"
"3089",3,68.94,5410,NA,"Fabryczna"
"3090",2,39.81,5903,NA,"Fabryczna"
"3091",3,53.03,5393,NA,"Fabryczna"
"3092",3,80.56,4903,NA,"Fabryczna"
"3093",2,60.08,5393,NA,"Fabryczna"
"3094",3,97,4897,NA,"Fabryczna"
"3095",3,58.64,5406,NA,"Fabryczna"
"3096",2,38.8,5902,NA,"Fabryczna"
"3097",3,68.58,5398,NA,"Fabryczna"
"3098",3,54.46,5398,NA,"Fabryczna"
"3099",2,38.9,5913,NA,"Fabryczna"
"3100",3,68.92,5412,NA,"Fabryczna"
"3101",3,74.61,5409,NA,"Fabryczna"
"3102",2,61.38,5409,NA,"Fabryczna"
"3103",3,90.03,4898,NA,"Fabryczna"
"3104",3,56.72,5395,NA,"Fabryczna"
"3105",3,64,4906,1984,"Fabryczna"
"3106",1,46,5196,2009,"Fabryczna"
"3107",2,39.69,5394,NA,"Fabryczna"
"3108",2,39.84,5899,NA,"Fabryczna"
"3109",3,65.66,5391,NA,"Fabryczna"
"3110",3,53.02,5899,NA,"Fabryczna"
"3111",2,39.84,5899,NA,"Fabryczna"
"3112",3,63.26,5406,NA,"Fabryczna"
"3113",3,92.28,5399,NA,"Fabryczna"
"3114",2,61.31,5399,NA,"Fabryczna"
"3115",2,73.35,5099,NA,"Fabryczna"
"3116",3,67.15,5406,NA,"Fabryczna"
"3117",2,39.81,5903,NA,"Fabryczna"
"3118",1,33,5727,2000,"Fabryczna"
"3119",2,53.2,5395,NA,"Fabryczna"
"3120",3,63.32,5401,NA,"Fabryczna"
"3121",2,39.81,5903,NA,"Fabryczna"
"3122",2,52.89,5407,NA,"Fabryczna"
"3123",2,40,5975,2010,"Fabryczna"
"3124",2,45,7533,NA,"Krzyki"
"3125",2,45,7533,NA,"Krzyki"
"3126",3,95,7895,1930,"Krzyki"
"3127",4,75,5187,1993,"Fabryczna"
"3128",3,56,6161,NA,"Fabryczna"
"3129",2,59,5254,NA,"Krzyki"
"3130",3,66,5439,NA,"Krzyki"
"3131",1,31,7097,2010,"Fabryczna"
"3132",4,63,5556,NA,"Psie Pole"
"3133",5,160,3594,NA,"Krzyki"
"3134",2,36,6250,NA,"Fabryczna"
"3135",3,60,5750,NA,"Fabryczna"
"3136",2,48,9375,NA,"Fabryczna"
"3137",2,49,6020,NA,"Fabryczna"
"3138",4,97,4536,2002,"Psie Pole"
"3139",3,63,6127,2003,"Krzyki"
"3140",1,25,7510,NA,NA
"3141",2,50,6200,NA,"Psie Pole"
"3142",2,46,5848,2007,"Psie Pole"
"3143",2,60,6817,1960,"Śródmieście"
"3144",3,64,5672,NA,"Psie Pole"
"3145",3,59,6017,NA,"Krzyki"
"3146",3,53,6019,NA,"Śródmieście"
"3147",2,34,6324,NA,"Psie Pole"
"3148",2,38,6411,2017,"Krzyki"
"3149",1,28,9821,NA,"Stare Miasto"
"3150",2,37,8108,NA,"Fabryczna"
"3151",3,52.47,6500,NA,"Stare Miasto"
"3152",3,52.5,6190,NA,"Psie Pole"
"3153",2,44.16,5400,NA,"Fabryczna"
"3154",2,41.82,5486,NA,"Fabryczna"
"3155",2,41.82,5486,NA,"Fabryczna"
"3156",2,40.37,5450,NA,"Krzyki"
"3157",2,38.06,5491,NA,"Krzyki"
"3158",3,51.15,5484,NA,"Krzyki"
"3159",4,55.53,5547,NA,"Krzyki"
"3160",1,35.48,5426,NA,"Krzyki"
"3161",2,40.37,5450,NA,"Krzyki"
"3162",2,47.71,6581,NA,"Krzyki"
"3163",3,47.71,6581,NA,"Krzyki"
"3164",2,48.1,6549,NA,"Krzyki"
"3165",2,38.24,5000,NA,"Fabryczna"
"3166",3,61.71,5000,NA,"Fabryczna"
"3167",3,45.73,5987,NA,"Fabryczna"
"3168",2,29.86,5244,NA,"Fabryczna"
"3169",2,38.37,5000,NA,"Fabryczna"
"3170",2,40.1,6459,NA,"Krzyki"
"3171",2,32.82,7282,NA,"Krzyki"
"3172",3,61.2,5098,NA,"Psie Pole"
"3173",3,80.1,4795,NA,"Psie Pole"
"3174",3,62.7,5098,NA,"Psie Pole"
"3175",2,38.6,5297,NA,"Psie Pole"
"3176",2,38.6,5297,NA,"Psie Pole"
"3177",2,39.12,6876,NA,"Stare Miasto"
"3178",2,36.08,7178,NA,"Stare Miasto"
"3179",2,36.08,7456,NA,"Stare Miasto"
"3180",3,54.4,5760,NA,"Śródmieście"
"3181",3,59.19,5760,NA,"Śródmieście"
"3182",3,62.4,5610,NA,"Śródmieście"
"3183",3,54.4,5610,NA,"Śródmieście"
"3184",2,52.45,5500,NA,"Śródmieście"
"3185",2,52.24,5760,NA,"Śródmieście"
"3186",2,52.45,5550,NA,"Śródmieście"
"3187",2,52.45,5450,NA,"Śródmieście"
"3188",2,38,6553,NA,"Krzyki"
"3189",3,48,5625,1950,"Stare Miasto"
"3190",2,38,6447,1980,"Krzyki"
"3191",3,62.5,5200,1980,"Krzyki"
"3192",4,78.3,6000,NA,"Stare Miasto"
"3193",3,67,5373,1960,"Krzyki"
"3194",2,48,7813,1992,"Krzyki"
"3195",2,37.51,5500,NA,"Krzyki"
"3196",2,43.57,5500,NA,"Krzyki"
"3197",2,39.33,5500,NA,"Krzyki"
"3198",2,42.57,5500,NA,"Krzyki"
"3199",2,43.57,5500,NA,"Krzyki"
"3200",2,42.57,5500,NA,"Krzyki"
"3201",2,39.33,5500,NA,"Krzyki"
"3202",2,39.2,5500,NA,"Krzyki"
"3203",2,37.51,5500,NA,"Krzyki"
"3204",2,37.51,5500,NA,"Krzyki"
"3205",3,50,7980,1983,"Śródmieście"
"3206",4,91.01,5813,NA,"Krzyki"
"3207",4,91.01,5813,NA,"Krzyki"
"3208",3,59,6508,1935,"Śródmieście"
"3209",2,83.5,4970,1910,"Stare Miasto"
"3210",3,63,5556,NA,"Psie Pole"
"3211",1,40,7175,1965,"Stare Miasto"
"3212",2,53,6887,1940,NA
"3213",3,67.8,5678,1990,"Krzyki"
"3214",2,42.5,6471,NA,"Krzyki"
"3215",5,130,6077,1960,"Krzyki"
"3216",3,63.7,5181,1987,"Fabryczna"
"3217",4,98,4582,1995,"Fabryczna"
"3218",4,116.31,12100,NA,"Stare Miasto"
"3219",4,72.8,4602,1980,NA
"3220",4,72.8,4602,1980,NA
"3221",4,90.5,4840,1991,"Śródmieście"
"3222",3,54.96,6156,NA,"Krzyki"
"3223",4,145,8276,NA,"Śródmieście"
"3224",3,63,5397,NA,"Śródmieście"
"3225",1,52,6923,1937,"Krzyki"
"3226",2,69.25,4950,2017,"Fabryczna"
"3227",3,90.63,4950,2017,"Fabryczna"
"3228",3,74,5392,NA,"Fabryczna"
"3229",2,47,7447,2011,"Krzyki"
"3230",2,38.8,6959,2002,"Krzyki"
"3231",2,52,5135,1978,"Psie Pole"
"3232",2,34,6588,1980,"Fabryczna"
"3233",4,112,4107,1911,"Krzyki"
"3234",4,112,4107,1911,"Krzyki"
"3235",3,57,5421,1978,"Krzyki"
"3236",3,95,5158,NA,"Śródmieście"
"3237",3,60,5083,1980,"Fabryczna"
"3238",3,55,6345,1981,"Stare Miasto"
"3239",3,76,4855,NA,"Psie Pole"
"3240",5,97,4897,2001,"Krzyki"
"3241",4,95,4621,NA,"Śródmieście"
"3242",2,50,7300,2013,NA
"3243",4,55,5636,1968,"Krzyki"
"3244",2,52.57,4939,2017,"Fabryczna"
"3245",2,68,4691,1939,"Krzyki"
"3246",3,85.88,4950,2017,"Fabryczna"
"3247",1,34,10000,1961,NA
"3248",3,57,5614,1976,"Psie Pole"
"3249",4,72.32,4950,2017,"Fabryczna"
"3250",4,79,4177,1981,"Fabryczna"
"3251",3,68.5,6701,2014,NA
"3252",2,43,6512,NA,"Stare Miasto"
"3253",4,75,5600,NA,"Śródmieście"
"3254",4,90,5322,1997,"Krzyki"
"3255",3,62.4,5048,1980,"Fabryczna"
"3256",5,95.46,4950,NA,"Fabryczna"
"3257",4,75,5187,2018,"Psie Pole"
"3258",2,45,6667,NA,"Śródmieście"
"3259",3,95.46,4950,2017,"Fabryczna"
"3260",2,61,11803,2009,"Stare Miasto"
"3261",1,40,6725,2008,"Krzyki"
"3262",3,57.1,5604,NA,"Psie Pole"
"3263",3,71,5423,NA,"Śródmieście"
"3264",3,60,6317,2009,"Fabryczna"
"3265",3,81.4,4791,1930,"Krzyki"
"3266",3,55,5400,2017,NA
"3267",1,17.07,9471,2017,NA
"3268",2,32.82,7282,2018,"Krzyki"
"3269",2,34.14,7293,2018,"Krzyki"
"3270",4,75,5187,2018,"Psie Pole"
"3271",4,112,5714,NA,"Krzyki"
"3272",3,63,5794,1930,"Śródmieście"
"3273",3,99.72,4904,NA,"Fabryczna"
"3274",2,61.22,5390,NA,"Fabryczna"
"3275",3,77.61,5102,NA,"Fabryczna"
"3276",3,71.11,5105,NA,"Fabryczna"
"3277",2,39.67,5899,NA,"Fabryczna"
"3278",3,56.84,5401,NA,"Fabryczna"
"3279",2,46.92,5712,NA,"Fabryczna"
"3280",2,39.81,5900,NA,"Fabryczna"
"3281",3,53.15,5399,NA,"Fabryczna"
"3282",2,49,11755,2015,"Stare Miasto"
"3283",3,92,5424,2004,"Krzyki"
"3284",3,70.1,4993,1930,"Śródmieście"
"3285",4,105.2,5989,1930,"Śródmieście"
"3286",2,48,5229,1902,"Śródmieście"
"3287",3,70,6729,1920,"Śródmieście"
"3288",2,47,6383,1979,"Śródmieście"
"3289",4,100,3990,2015,"Psie Pole"
"3290",1,27,8481,NA,"Krzyki"
"3291",4,80,4250,NA,"Psie Pole"
"3292",3,60,4667,NA,"Krzyki"
"3293",7,65,5462,NA,"Psie Pole"
"3294",2,71,4930,1905,"Psie Pole"
"3295",5,127,5488,NA,"Krzyki"
"3296",4,85,5647,NA,"Psie Pole"
"3297",3,92,5424,NA,"Krzyki"
"3298",3,54,6389,NA,"Fabryczna"
"3299",2,54,6296,2007,"Fabryczna"
"3300",3,70,7029,NA,"Śródmieście"
"3301",2,37,6486,NA,"Krzyki"
"3302",2,51,5833,NA,"Krzyki"
"3303",4,75,5187,2018,"Psie Pole"
"3304",4,117,5265,2005,"Krzyki"
"3305",2,NA,NA,1980,"Fabryczna"
"3306",2,44,10114,2015,"Stare Miasto"
"3307",2,61,5656,1993,"Krzyki"
"3308",2,52,5750,1965,"Stare Miasto"
"3309",3,69,7014,2010,"Fabryczna"
"3310",3,81,3580,NA,"Psie Pole"
"3311",4,74,4730,NA,"Fabryczna"
"3312",2,37,6730,NA,"Stare Miasto"
"3313",2,49,4673,2016,"Fabryczna"
"3314",3,85,7412,NA,"Śródmieście"
"3315",3,58,6362,NA,"Fabryczna"
"3316",3,79,5430,NA,"Psie Pole"
"3317",3,64,5781,1975,"Fabryczna"
"3318",2,48,5625,1980,"Śródmieście"
"3319",3,71,5634,NA,NA
"3320",3,63,5000,2008,"Psie Pole"
"3321",2,38,6621,2017,"Krzyki"
"3322",3,69,5290,NA,"Fabryczna"
"3323",2,75,4160,NA,NA
"3324",1,40,6000,NA,"Fabryczna"
"3325",3,55,6909,NA,"Krzyki"
"3326",3,62,6419,NA,"Krzyki"
"3327",3,47,5723,NA,NA
"3328",3,45,6000,NA,"Stare Miasto"
"3329",3,48,5417,NA,"Krzyki"
"3330",1,28,6500,NA,"Śródmieście"
"3331",3,107,6262,2008,"Krzyki"
"3332",4,76,5526,1993,"Krzyki"
"3333",2,49,6102,2008,"Fabryczna"
"3334",2,39.1,6368,NA,"Stare Miasto"
"3335",4,70.1,4494,NA,"Psie Pole"
"3336",3,47,6277,1975,"Krzyki"
"3337",1,28,5357,1935,"Fabryczna"
"3338",1,40,5975,1930,"Stare Miasto"
"3339",2,54,6370,2010,"Krzyki"
"3340",1,40.8,7034,1960,"Stare Miasto"
"3341",4,75,5600,1935,"Śródmieście"
"3342",3,78,4000,1945,"Fabryczna"
"3343",3,59.7,6181,NA,"Stare Miasto"
"3344",3,57.8,6298,NA,"Stare Miasto"
"3345",3,55.35,6305,NA,"Stare Miasto"
"3346",3,55.35,6305,NA,"Stare Miasto"
"3347",3,55.4,6300,NA,"Stare Miasto"
"3348",3,48.15,7040,NA,"Stare Miasto"
"3349",1,31.7,7539,NA,"Stare Miasto"
"3350",1,28.9,7924,NA,"Stare Miasto"
"3351",2,42.6,6784,NA,"Stare Miasto"
"3352",2,42.3,6832,NA,"Stare Miasto"
"3353",2,39.25,7236,NA,"Stare Miasto"
"3354",2,37.9,7230,NA,"Stare Miasto"
"3355",2,36.3,6860,NA,"Stare Miasto"
"3356",2,36.1,7175,NA,"Stare Miasto"
"3357",2,34.15,7291,NA,"Krzyki"
"3358",2,45.1,6186,NA,"Krzyki"
"3359",2,40.1,6459,NA,"Krzyki"
"3360",2,39,6538,NA,"Krzyki"
"3361",2,39.9,6992,NA,"Krzyki"
"3362",2,34.15,7291,NA,"Krzyki"
"3363",3,56.81,6178,NA,"Krzyki"
"3364",3,59.31,6053,NA,"Krzyki"
"3365",3,55.35,6305,NA,"Krzyki"
"3366",3,55.02,5980,NA,"Krzyki"
"3367",3,53.67,6130,NA,"Krzyki"
"3368",3,47.21,6333,NA,"Krzyki"
"3369",3,48.1,6237,NA,"Krzyki"
"3370",3,47.75,6262,NA,"Krzyki"
"3371",3,62.5,5360,NA,"Krzyki"
"3372",4,126,5508,1930,NA
"3373",3,110,3136,1960,NA
"3374",1,40,6500,1890,NA
"3375",3,63,5794,NA,"Śródmieście"
"3376",3,77,6000,2005,"Krzyki"
"3377",2,52,5481,2008,"Krzyki"
"3378",2,51,5275,1970,"Śródmieście"
"3379",2,49.32,5779,2011,"Śródmieście"
"3380",2,39,7051,NA,"Krzyki"
"3381",3,63,5540,NA,"Fabryczna"
"3382",3,126.24,6901,NA,"Krzyki"
"3383",4,93,5366,2003,"Krzyki"
"3384",3,50,4800,NA,"Psie Pole"
"3385",2,58,6017,NA,"Krzyki"
"3386",1,34,7059,2008,"Krzyki"
"3387",2,54,6852,2011,"Krzyki"
"3388",3,65,7077,2004,"Psie Pole"
"3389",3,110,4091,NA,"Psie Pole"
"3390",3,89,5270,NA,"Krzyki"
"3391",3,94,19681,2009,"Stare Miasto"
"3392",2,50,6000,NA,"Fabryczna"
"3393",3,48,6563,NA,"Stare Miasto"
"3394",4,117,5470,2005,"Krzyki"
"3395",3,60,4333,1980,"Psie Pole"
"3396",3,87,7816,NA,"Stare Miasto"
"3397",3,67,5746,2009,"Fabryczna"
"3398",3,76,5263,2003,"Fabryczna"
"3399",2,49,5918,NA,"Psie Pole"
"3400",3,64,5661,2017,"Krzyki"
"3401",2,55,4469,2017,"Krzyki"
"3402",3,86,5401,2016,"Fabryczna"
"3403",2,50.51,6929,1930,"Śródmieście"
"3404",2,40.16,7097,2008,"Krzyki"
"3405",2,49.75,6111,NA,"Krzyki"
"3406",2,34.14,7293,NA,"Krzyki"
"3407",2,32.81,7284,NA,"Krzyki"
"3408",1,33.69,6946,NA,"Krzyki"
"3409",1,31.16,7028,NA,"Krzyki"
"3410",1,26,7115,1970,"Fabryczna"
"3411",1,28.01,7997,NA,"Stare Miasto"
"3412",1,28.01,7997,NA,"Stare Miasto"
"3413",1,28.01,7997,NA,"Stare Miasto"
"3414",1,28.01,7997,NA,"Stare Miasto"
"3415",2,51,7400,NA,"Psie Pole"
"3416",2,51,7400,NA,"Psie Pole"
"3417",2,51,7400,NA,"Psie Pole"
"3418",2,51,7400,NA,"Psie Pole"
"3419",2,51,7200,NA,"Psie Pole"
"3420",4,76.35,5584,NA,"Fabryczna"
"3421",2,49.83,5448,NA,"Fabryczna"
"3422",2,38.6,5297,NA,"Psie Pole"
"3423",2,46.3,7400,NA,"Psie Pole"
"3424",2,46.3,7400,NA,"Psie Pole"
"3425",2,46.3,7400,NA,"Psie Pole"
"3426",2,51,7200,NA,"Psie Pole"
"3427",2,46.3,7400,NA,"Psie Pole"
"3428",2,51,7200,NA,"Psie Pole"
"3429",2,51,7200,NA,"Psie Pole"
"3430",2,46.5,7200,NA,"Psie Pole"
"3431",2,46.5,7200,NA,"Psie Pole"
"3432",2,46.5,7200,NA,"Psie Pole"
"3433",2,51,7200,NA,"Psie Pole"
"3434",2,46.5,7200,NA,"Psie Pole"
"3435",2,51,7200,NA,"Psie Pole"
"3436",2,51,7200,NA,"Psie Pole"
"3437",2,51,7200,NA,"Psie Pole"
"3438",3,68.97,5469,NA,"Fabryczna"
"3439",2,51,7200,NA,"Psie Pole"
"3440",3,62.7,5098,NA,"Psie Pole"
"3441",3,68.97,5469,NA,"Fabryczna"
"3442",2,36.73,6779,NA,"Stare Miasto"
"3443",2,38.6,5297,NA,"Psie Pole"
"3444",3,64.09,5442,NA,"Fabryczna"
"3445",2,50.51,5450,NA,"Psie Pole"
"3446",4,73.32,5100,NA,"Psie Pole"
"3447",4,115.02,3498,NA,"Psie Pole"
"3448",3,71.63,6631,NA,"Fabryczna"
"3449",2,60.78,4919,NA,"Fabryczna"
"3450",2,54.22,5100,NA,"Fabryczna"
"3451",3,74.39,6821,NA,"Stare Miasto"
"3452",3,69.19,5100,NA,"Psie Pole"
"3453",1,31.17,7668,2016,NA
"3454",3,73,5192,1994,"Psie Pole"
"3455",2,52.24,5760,NA,"Śródmieście"
"3456",1,32,5469,1975,"Psie Pole"
"3457",5,108.63,5720,NA,"Fabryczna"
"3458",5,108.63,5720,NA,"Fabryczna"
"3459",2,41.94,6900,NA,"Fabryczna"
"3460",3,57.28,6100,NA,"Psie Pole"
"3461",3,46.65,7053,1980,"Stare Miasto"
"3462",3,62.5,5200,1980,"Krzyki"
"3463",2,51,6863,1903,"Śródmieście"
"3464",3,53.1,6403,2011,NA
"3465",4,99,7061,2015,"Krzyki"
"3466",4,126,5516,1910,"Krzyki"
"3467",2,35,13143,NA,"Stare Miasto"
"3468",4,77,10000,2016,"Krzyki"
"3469",5,126,5548,NA,"Krzyki"
"3470",4,100,5800,NA,"Śródmieście"
"3471",2,45,6200,2006,"Fabryczna"
"3472",3,84,5714,1995,"Psie Pole"
"3473",2,39,9231,2012,"Krzyki"
"3474",2,40,6950,1980,"Stare Miasto"
"3475",4,79,5937,NA,"Śródmieście"
"3476",3,79,6076,2007,"Krzyki"
"3477",2,55,6345,NA,"Śródmieście"
"3478",4,87.6,5422,1930,"Śródmieście"
"3479",2,42,7619,NA,"Krzyki"
"3480",3,58,5690,NA,"Psie Pole"
"3481",2,60,6000,NA,"Krzyki"
"3482",3,55,7255,1996,"Śródmieście"
"3483",2,49,4469,NA,NA
"3484",3,60.5,5785,NA,"Psie Pole"
"3485",2,76,4605,1905,"Psie Pole"
"3486",1,40,9275,2015,"Śródmieście"
"3487",2,65,8462,NA,"Stare Miasto"
"3488",3,66.5,6752,NA,"Śródmieście"
"3489",3,62.5,5264,1985,"Krzyki"
"3490",2,45,5641,NA,"Krzyki"
"3491",1,33,5670,NA,"Krzyki"
"3492",3,56,5618,NA,"Krzyki"
"3493",2,61.6,4854,2017,"Fabryczna"
"3494",4,83.75,5994,NA,"Śródmieście"
"3495",3,60.09,6208,NA,"Śródmieście"
"3496",3,67.41,6232,NA,"Śródmieście"
"3497",3,62.66,5890,NA,"Krzyki"
"3498",3,62.66,5890,NA,"Krzyki"
"3499",2,49.42,4990,NA,"Krzyki"
"3500",2,54.74,4950,NA,"Krzyki"
"3501",3,64.12,5550,NA,"Krzyki"
"3502",3,62.5,5120,1987,"Krzyki"
"3503",1,24,7875,1970,"Krzyki"
"3504",3,85,5518,NA,"Śródmieście"
"3505",1,41,6341,NA,"Śródmieście"
"3506",2,40,6725,2008,"Krzyki"
"3507",3,63,5794,NA,"Śródmieście"
"3508",6,135,3874,NA,"Śródmieście"
"3509",2,47.3,5920,1977,"Psie Pole"
"3510",3,66,4697,1935,"Śródmieście"
"3511",2,56,6589,NA,"Krzyki"
"3512",2,46,6283,1970,"Śródmieście"
"3513",2,51,6843,NA,"Krzyki"
"3514",3,89,5270,2008,"Krzyki"
"3515",2,54,5722,NA,"Fabryczna"
"3516",2,50,6980,2009,"Krzyki"
"3517",1,33.58,8189,1995,"Śródmieście"
"3518",3,92.16,4416,NA,"Fabryczna"
"3519",3,92.16,4416,NA,"Fabryczna"
"3520",3,77.78,4508,NA,"Fabryczna"
"3521",3,74.56,4554,NA,"Fabryczna"
"3522",3,45,4444,NA,"Fabryczna"
"3523",3,73.93,4720,NA,"Fabryczna"
"3524",3,72.29,4720,NA,"Fabryczna"
"3525",3,71.86,4824,NA,"Fabryczna"
"3526",3,70.78,4508,NA,"Fabryczna"
"3527",2,68.86,4508,NA,"Fabryczna"
"3528",3,66.93,4824,NA,"Fabryczna"
"3529",3,63.41,4692,NA,"Krzyki"
"3530",3,63.24,4738,NA,"Fabryczna"
"3531",3,66.88,4824,NA,"Fabryczna"
"3532",2,63.05,4600,NA,"Fabryczna"
"3533",3,62.35,4784,NA,"Fabryczna"
"3534",3,56.08,4824,NA,"Fabryczna"
"3535",2,56.03,4738,NA,"Fabryczna"
"3536",2,55.1,4692,NA,"Fabryczna"
"3537",3,54.43,4830,NA,"Fabryczna"
"3538",2,36,5550,NA,"Krzyki"
"3539",2,59,6237,2007,"Śródmieście"
"3540",1,54.26,4646,NA,"Fabryczna"
"3541",2,53.93,4824,NA,"Fabryczna"
"3542",3,54.18,4830,NA,"Fabryczna"
"3543",2,53.76,4738,NA,"Fabryczna"
"3544",2,53.59,4692,NA,"Fabryczna"
"3545",2,45.32,4876,NA,"Fabryczna"
"3546",2,43,6488,2002,"Fabryczna"
"3547",4,93,4828,2003,"Krzyki"
"3548",3,89,5270,2007,"Krzyki"
"3549",3,56.82,6024,NA,NA
"3550",3,66,5455,1960,"Krzyki"
"3551",3,60.08,6408,2012,"Fabryczna"
"3552",4,80,5875,2006,"Fabryczna"
"3553",2,36,6528,1985,"Fabryczna"
"3554",3,63,5778,1930,"Śródmieście"
"3555",2,39.12,6876,NA,"Stare Miasto"
"3556",3,69.63,5947,NA,"Stare Miasto"
"3557",3,52.5,6190,NA,"Psie Pole"
"3558",2,46.3,7200,NA,"Psie Pole"
"3559",2,46.3,7200,NA,"Psie Pole"
"3560",2,46.3,7200,NA,"Psie Pole"
"3561",2,46.3,7200,NA,"Psie Pole"
"3562",3,63.93,6097,NA,"Krzyki"
"3563",3,63.93,6097,NA,"Krzyki"
"3564",3,63.93,6097,NA,"Krzyki"
"3565",3,63.93,6097,NA,"Krzyki"
"3566",3,63.93,6097,NA,"Krzyki"
"3567",3,63.93,6097,NA,"Krzyki"
"3568",3,63.93,6097,NA,"Krzyki"
"3569",3,63.93,6097,NA,"Krzyki"
"3570",3,63.93,6097,NA,"Krzyki"
"3571",3,63.93,6097,NA,"Krzyki"
"3572",3,63.93,6097,NA,"Krzyki"
"3573",3,68.7,6094,NA,"Krzyki"
"3574",3,68.7,6094,NA,"Krzyki"
"3575",1,35.48,5426,NA,"Krzyki"
"3576",1,35.48,5426,NA,"Krzyki"
"3577",3,48.1,6549,NA,"Krzyki"
"3578",2,48.1,6549,NA,"Krzyki"
"3579",2,48.1,6549,NA,"Krzyki"
"3580",2,49.83,5400,NA,"Fabryczna"
"3581",3,66,4697,NA,"Śródmieście"
"3582",3,50,6200,2008,"Fabryczna"
"3583",3,53.77,8722,NA,"Śródmieście"
"3584",3,58.1,7728,NA,"Śródmieście"
"3585",2,50,5760,2008,"Krzyki"
"3586",3,109.6,4735,1933,"Krzyki"
"3587",2,23.82,9471,NA,"Fabryczna"
"3588",2,31.94,9471,NA,"Fabryczna"
"3589",1,17.07,9471,NA,"Fabryczna"
"3590",1,16.04,9471,NA,"Fabryczna"
"3591",1,28.98,10317,NA,"Śródmieście"
"3592",4,69.86,9433,NA,"Śródmieście"
"3593",2,48.01,7695,NA,"Śródmieście"
"3594",3,55.87,8583,NA,"Śródmieście"
"3595",3,62.95,6211,NA,"Krzyki"
"3596",3,71.13,6453,NA,"Krzyki"
"3597",2,45.6,5778,NA,"Fabryczna"
"3598",2,45.68,5724,NA,"Fabryczna"
"3599",2,55,5800,1995,"Krzyki"
"3600",3,108.35,5344,1931,"Stare Miasto"
"3601",5,106.27,4950,2017,"Fabryczna"
"3602",5,98,4276,NA,"Krzyki"
"3603",2,29.15,7547,1980,"Psie Pole"
