"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"142",2,64,7172,2004,"Śródmieście"
"143",4,105,4943,2000,"Krzyki"
"144",2,52,6904,2000,"Krzyki"
"145",3,73,4370,NA,"Fabryczna"
"146",3,42.9,6423,NA,"Krzyki"
"147",2,53.06,5234,NA,"Fabryczna"
"148",3,65.4,7416,1997,"Śródmieście"
"149",4,66.6,5706,1991,"Krzyki"
"150",2,62.3,5570,1906,"Śródmieście"
"151",3,65.7,5199,NA,"Fabryczna"
"152",2,40.48,7411,1930,"Fabryczna"
"153",4,53,5642,NA,"Fabryczna"
"154",4,74.19,5661,NA,"Śródmieście"
"155",3,85.56,5493,NA,"Śródmieście"
"156",2,63.25,5360,NA,"Śródmieście"
"157",2,38.38,9380,2012,"Krzyki"
"158",2,61.95,5634,NA,"Śródmieście"
"159",2,52.1,6142,1990,"Śródmieście"
"160",3,85.11,5511,NA,"Śródmieście"
"161",2,54,10185,2008,"Stare Miasto"
"162",3,65,5615,1995,"Śródmieście"
"163",2,48.42,5721,2005,"Krzyki"
"164",3,52.4,6489,1950,"Fabryczna"
"165",4,79.1,4235,1985,"Fabryczna"
"166",4,69.95,4861,2008,"Psie Pole"
"167",3,49.9,6200,NA,"Krzyki"
"168",2,46.2,7338,1904,"Śródmieście"
"169",3,58,5155,1930,"Krzyki"
"170",2,45.9,5817,2016,"Fabryczna"
"171",2,44.3,6682,2003,"Psie Pole"
"172",3,52.6,6625,2017,"Śródmieście"
"173",2,39.6,6725,2017,"Śródmieście"
"174",2,54,6019,2009,"Krzyki"
"175",2,35.5,5450,2018,"Psie Pole"
"176",2,75,5720,1930,"Śródmieście"
"177",4,76,5987,2006,"Krzyki"
"178",2,47.4,5400,2018,"Psie Pole"
"179",3,77,6000,2000,"Krzyki"
"180",2,56,5804,1989,"Krzyki"
"181",3,54,5100,2018,"Psie Pole"
"182",2,45.5,6813,1936,"Krzyki"
"183",2,49.6,5754,2017,"Śródmieście"
"184",2,48.9,6200,2017,"Śródmieście"
"185",3,48,7271,NA,"Stare Miasto"
"186",1,24.3,8889,2017,"Stare Miasto"
"187",3,50,6000,1980,NA
"188",4,72,4431,1982,"Psie Pole"
"189",4,51.4,6825,2017,"Śródmieście"
"190",2,52.71,5483,NA,"Fabryczna"
"191",2,47.2,6335,1980,"Stare Miasto"
"192",2,40.5,6667,2011,"Fabryczna"
"193",3,58.69,5521,1958,"Krzyki"
"194",1,30.5,5738,1936,"Krzyki"
"195",2,56.4,5833,1985,"Krzyki"
"196",1,48.3,17578,2007,"Stare Miasto"
"197",3,63,5792,1930,"Śródmieście"
"198",2,33.87,7352,2017,"Krzyki"
"199",2,57.1,6042,2004,"Krzyki"
"200",2,32.7,6422,1980,"Fabryczna"
"201",2,38.45,10401,2017,"Stare Miasto"
"202",4,87.99,5330,1930,"Śródmieście"
"203",2,47.71,6581,2017,"Krzyki"
"204",4,136.95,6418,1903,"Stare Miasto"
